Satellite list
SAT21	SAT07	SAT03	SAT05	SAT12	SAT26	SAT29	SAT20	SAT17	SAT41	SAT19	SAT16	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK170         SAT21             8          2065             0       1207535             1            -1         25200         43200
     TASK178         SAT07             8          2108             0       1207492             1            -1         25200         43200
     TASK194         SAT03             8          2053             0       1207547             1            -1         25200         43200
     TASK214         SAT05             8          2123             0       1207477             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK291         SAT26             8          1834             0       1207766             1            -1         25200         43200
     TASK340         SAT29             8          2368             0       1207232             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK256         SAT41             8          1817             0       1207783             1            -1         25200         43200
     TASK162         SAT19             8          1857             0       1207743             1            -1         25200         43200
     TASK206         SAT16             8          2238             0       1207362             1            -1         25200         43200
