Satellite list
SAT18	SAT13	SAT47	SAT08	SAT45	SAT34	SAT26	SAT09	SAT17	SAT14	SAT30	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK174         SAT18             8          1824             0       1207776             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK333         SAT47             8          2008             0       1207592             1            -1         25200         43200
     TASK222         SAT08             8          2133             0       1207467             1            -1         25200         43200
     TASK326         SAT45             8          1943             0       1207657             1            -1         25200         43200
     TASK270         SAT34             8          2041             0       1207559             1            -1         25200         43200
     TASK291         SAT26             8          1834             0       1207766             1            -1         25200         43200
     TASK234         SAT09             8          2047             0       1207553             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK150         SAT14             8          1954             0       1207646             1            -1         25200         43200
     TASK284         SAT30             8          2033             0       1207567             1            -1         25200         43200
