Satellite list
SAT10	SAT22	SAT07	SAT18	SAT02	SAT13	SAT09	SAT23	SAT17	SAT05	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT10             8          2065             0       1207535             1            -1         25200         43200
       TASK4         SAT22             8          2039             0       1207561             1            -1         25200         43200
       TASK8         SAT07             8          2094             0       1207506             1            -1         25200         43200
      TASK12         SAT18             8          2069             0       1207531             1            -1         25200         43200
      TASK16         SAT02             8          2083             0       1207517             1            -1         25200         43200
      TASK20         SAT13             8          2374             0       1207226             1            -1         25200         43200
      TASK24         SAT09             8          2248             0       1207352             1            -1         25200         43200
      TASK28         SAT23             8          2091             0       1207509             1            -1         25200         43200
      TASK32         SAT17             8          2115             0       1207485             1            -1         25200         43200
      TASK36         SAT05             8          2022             0       1207578             1            -1         25200         43200
