Satellite list
SAT15	SAT23	SAT19	SAT15	SAT08	SAT02	SAT14	SAT07	SAT09	SAT12	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT15             4          4026         25117       1209600             0             0             0             0
       TASK1         SAT15             4          6007         48007       1209600             0             0             0             0
       TASK2         SAT15             4          3721        213856       1209600             0             0             0             0
       TASK3         SAT15             4          5185         42251       1209600             0             0             0             0
       TASK4         SAT23             4          6496        224977       1209600             0             0             0             0
       TASK5         SAT23             4          6156         24308       1209600             0             0             0             0
       TASK6         SAT23             4          5837        152565       1209600             0             0             0             0
       TASK7         SAT23             4          4421        227267       1209600             0             0             0             0
       TASK8         SAT19             4          3996         98115       1209600             0             0             0             0
       TASK9         SAT19             4          7761        196898       1209600             0             0             0             0
      TASK10         SAT19             4          6893        198167       1209600             0             0             0             0
      TASK11         SAT19             4          7228        226604       1209600             0             0             0             0
      TASK12         SAT08             4          5236        239191       1209600             0             0             0             0
      TASK13         SAT08             4          5900        107507       1209600             0             0             0             0
      TASK14         SAT08             4          4063         58884       1209600             0             0             0             0
      TASK15         SAT02             4          4720        230754       1209600             0             0             0             0
      TASK16         SAT02             4          4746        174675       1209600             0             0             0             0
      TASK17         SAT02             4          5627        244680       1209600             0             0             0             0
      TASK18         SAT02             4          6428        176154       1209600             0             0             0             0
      TASK19         SAT14             4          7288         62946       1209600             0             0             0             0
      TASK20         SAT14             4          4516         35102       1209600             0             0             0             0
      TASK21         SAT14             4          4017        210245       1209600             0             0             0             0
      TASK22         SAT14             4          4635        252936       1209600             0             0             0             0
      TASK23         SAT07             4          7487        184413       1209600             0             0             0             0
      TASK24         SAT07             4          5081        188917       1209600             0             0             0             0
      TASK25         SAT07             4          5560        172812       1209600             0             0             0             0
      TASK26         SAT07             4          4999        146076       1209600             0             0             0             0
      TASK27         SAT09             4          5676          2889       1209600             0             0             0             0
      TASK28         SAT09             4          6736         27053       1209600             0             0             0             0
      TASK29         SAT09             4          6673        174630       1209600             0             0             0             0
      TASK30         SAT09             4          4672         58082       1209600             0             0             0             0
      TASK31         SAT12             4          5304        179668       1209600             0             0             0             0
      TASK32         SAT12             4          6376        127148       1209600             0             0             0             0
      TASK33         SAT12             4          6617        202204       1209600             0             0             0             0
      TASK34         SAT12             4          4290        141376       1209600             0             0             0             0
      TASK35         SAT15             8          1821             0       1207779             1            -1         25200         43200
      TASK39         SAT23             8          2122             0       1207478             1            -1         25200         43200
      TASK43         SAT19             8          1858             0       1207742             1            -1         25200         43200
      TASK47         SAT08             8          2259             0       1207341             1            -1         25200         43200
      TASK51         SAT02             8          1983             0       1207617             1            -1         25200         43200
      TASK55         SAT14             8          1800             0       1207800             1            -1         25200         43200
      TASK59         SAT07             8          2383             0       1207217             1            -1         25200         43200
      TASK63         SAT09             8          2054             0       1207546             1            -1         25200         43200
      TASK67         SAT12             8          1951             0       1207649             1            -1         25200         43200
