Satellite list
SAT23	SAT13	SAT05	SAT12	SAT31	SAT32	SAT09	SAT15	SAT11	SAT47	SAT10	SAT01	SAT17	SAT06	SAT41	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK218         SAT23             8          2219             0       1207381             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK214         SAT05             8          2123             0       1207477             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK312         SAT31             8          1939             0       1207661             1            -1         25200         43200
     TASK298         SAT32             8          2037             0       1207563             1            -1         25200         43200
     TASK234         SAT09             8          2047             0       1207553             1            -1         25200         43200
     TASK154         SAT15             8          2197             0       1207403             1            -1         25200         43200
     TASK238         SAT11             8          2351             0       1207249             1            -1         25200         43200
     TASK333         SAT47             8          2008             0       1207592             1            -1         25200         43200
     TASK198         SAT10             8          1988             0       1207612             1            -1         25200         43200
     TASK158         SAT01             8          1855             0       1207745             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK190         SAT06             8          1858             0       1207742             1            -1         25200         43200
     TASK256         SAT41             8          1817             0       1207783             1            -1         25200         43200
