Satellite list
SAT16	SAT37	SAT24	SAT07	SAT21	SAT33	SAT32	SAT04	SAT31	SAT02	SAT30	SAT12	SAT06	SAT23	SAT01	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK206         SAT16             8          2238             0       1207362             1            -1         25200         43200
     TASK263         SAT37             8          1946             0       1207654             1            -1         25200         43200
     TASK242         SAT24             8          2063             0       1207537             1            -1         25200         43200
     TASK178         SAT07             8          2108             0       1207492             1            -1         25200         43200
     TASK170         SAT21             8          2065             0       1207535             1            -1         25200         43200
     TASK249         SAT33             8          1842             0       1207758             1            -1         25200         43200
     TASK298         SAT32             8          2037             0       1207563             1            -1         25200         43200
     TASK202         SAT04             8          2148             0       1207452             1            -1         25200         43200
     TASK312         SAT31             8          1939             0       1207661             1            -1         25200         43200
     TASK226         SAT02             8          2100             0       1207500             1            -1         25200         43200
     TASK284         SAT30             8          2033             0       1207567             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK190         SAT06             8          1858             0       1207742             1            -1         25200         43200
     TASK218         SAT23             8          2219             0       1207381             1            -1         25200         43200
     TASK158         SAT01             8          1855             0       1207745             1            -1         25200         43200
