Satellite list
SAT22	SAT17	SAT27	SAT37	SAT20	SAT34	SAT46	SAT16	SAT41	SAT01	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK186         SAT22             8          2392             0       1207208             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK347         SAT27             8          2223             0       1207377             1            -1         25200         43200
     TASK263         SAT37             8          1946             0       1207654             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK270         SAT34             8          2041             0       1207559             1            -1         25200         43200
     TASK319         SAT46             8          1890             0       1207710             1            -1         25200         43200
     TASK206         SAT16             8          2238             0       1207362             1            -1         25200         43200
     TASK256         SAT41             8          1817             0       1207783             1            -1         25200         43200
     TASK158         SAT01             8          1855             0       1207745             1            -1         25200         43200
