Satellite list
SAT26	SAT37	SAT05	SAT12	SAT21	SAT19	SAT17	SAT25	SAT13	SAT20	SAT45	SAT14	SAT04	SAT09	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK291         SAT26             8          1834             0       1207766             1            -1         25200         43200
     TASK263         SAT37             8          1946             0       1207654             1            -1         25200         43200
     TASK214         SAT05             8          2123             0       1207477             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK170         SAT21             8          2065             0       1207535             1            -1         25200         43200
     TASK162         SAT19             8          1857             0       1207743             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK277         SAT25             8          2008             0       1207592             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK326         SAT45             8          1943             0       1207657             1            -1         25200         43200
     TASK150         SAT14             8          1954             0       1207646             1            -1         25200         43200
     TASK202         SAT04             8          2148             0       1207452             1            -1         25200         43200
     TASK234         SAT09             8          2047             0       1207553             1            -1         25200         43200
