Satellite list
SAT10	SAT32	SAT06	SAT30	SAT35	SAT15	SAT20	SAT46	SAT31	SAT13	SAT07	SAT45	SAT01	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK198         SAT10             8          1988             0       1207612             1            -1         25200         43200
     TASK298         SAT32             8          2037             0       1207563             1            -1         25200         43200
     TASK190         SAT06             8          1858             0       1207742             1            -1         25200         43200
     TASK284         SAT30             8          2033             0       1207567             1            -1         25200         43200
     TASK305         SAT35             8          1809             0       1207791             1            -1         25200         43200
     TASK154         SAT15             8          2197             0       1207403             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK319         SAT46             8          1890             0       1207710             1            -1         25200         43200
     TASK312         SAT31             8          1939             0       1207661             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK178         SAT07             8          2108             0       1207492             1            -1         25200         43200
     TASK326         SAT45             8          1943             0       1207657             1            -1         25200         43200
     TASK158         SAT01             8          1855             0       1207745             1            -1         25200         43200
